,text,first_order_coherence,second_order_coherence,flesch_reading_ease,flesch_kincaid_grade,smog,gunning_fog,automated_readability_index,coleman_liau_index,lix,rix,token_length_mean,token_length_median,token_length_std,sentence_length_mean,sentence_length_median,sentence_length_std,syllables_per_token_mean,syllables_per_token_median,syllables_per_token_std,n_tokens,n_unique_tokens,proportion_unique_tokens,n_characters,n_sentences
0,"Call me Ishmael. Some years ago—never mind how long precisely—having
",0.2623138129711151,,89.6067307692308,2.375769230769233,,2.6,2.471538461538465,5.427692307692308,21.884615384615387,1.0,4.384615384615385,4.0,2.020603928702107,6.5,6.5,3.5,1.3076923076923077,1.0,0.46153846153846156,13,13,1.0,60,2
1,"little or no money in my purse, and nothing particular to interest me
",,,77.81071428571428,5.884285714285717,,8.457142857142857,4.74642857142857,6.025714285714283,35.42857142857143,3.0,4.071428571428571,2.5,2.684992304173215,14.0,14.0,0.0,1.3571428571428572,1.0,0.8112726208286104,14,14,1.0,58,1
2,"on shore, I thought I would sail about a little and see the watery part
",,,100.70750000000001,3.1875000000000036,,6.4,3.3493749999999984,3.297499999999996,22.25,1.0,3.5625,3.5,1.9354828209002528,16.0,16.0,0.0,1.0625,1.0,0.24206145913796356,16,15,0.9375,58,1
3,"of the world. It is a way I have of driving off the spleen and
",0.6770601868629456,,108.82750000000001,0.06750000000000256,,3.2,-3.3000000000000007,-1.8599999999999994,14.25,0.5,3.0,3.0,1.695582495781317,8.0,8.0,5.0,1.0625,1.0,0.24206145913796356,16,14,0.875,49,2
4,"regulating the circulation. Whenever I find myself growing grim about
",0.267924427986145,,47.434318181818185,8.009545454545457,,9.472727272727274,7.010909090909088,10.890909090909087,41.86363636363637,2.0,5.454545454545454,5.0,3.1727142484754816,5.5,5.5,2.5,1.8181818181818181,1.0,1.113404428537808,11,11,1.0,61,2
5,"the mouth; whenever it is a damp, drizzly November in my soul; whenever
",,,89.89642857142859,4.19857142857143,,5.6000000000000005,4.74642857142857,6.025714285714283,42.57142857142857,4.0,4.071428571428571,3.5,2.576384113838776,14.0,14.0,0.0,1.2142857142857142,1.0,0.41032590332414487,14,13,0.9285714285714286,60,1
6,"I find myself involuntarily pausing before coffin warehouses, and
",,,44.405,9.55,,8.0,10.417000000000002,14.755999999999997,40.0,3.0,5.7,6.0,3.5791060336346563,10.0,10.0,0.0,1.8,1.5,1.1661903789690602,10,10,1.0,58,1
7,"bringing up the rear of every funeral I meet; and especially whenever
",,,69.99384615384618,6.726153846153846,,11.353846153846156,6.083846153846153,8.156923076923078,43.769230769230774,4.0,4.461538461538462,4.0,2.8179475513868004,13.0,13.0,0.0,1.4615384615384615,1.0,0.7457969011409737,13,13,1.0,59,1
8,"my hypos get such an upper hand of me, that it requires a strong moral
",,,84.845,5.400000000000002,,6.4,3.0549999999999997,2.929999999999996,22.25,1.0,3.5,3.5,1.9039432764659772,16.0,16.0,0.0,1.25,1.0,0.4330127018922193,16,16,1.0,57,1
9,"principle to prevent me from deliberately stepping into the street, and
",,,60.70500000000001,7.773333333333333,,8.133333333333333,8.5125,11.623333333333331,45.33333333333333,4.0,5.083333333333333,4.0,3.200477394945253,12.0,12.0,0.0,1.5833333333333333,1.0,0.8620067027323834,12,12,1.0,62,1
10,"methodically knocking people’s hats off—then, I account it high time to
",,,77.81071428571428,5.884285714285717,,8.457142857142857,5.755714285714284,7.285714285714285,35.42857142857143,3.0,4.285714285714286,4.0,2.9623487647611033,14.0,14.0,0.0,1.3571428571428572,1.0,0.8112726208286104,14,14,1.0,62,1
11,"get to sea as soon as I can. This is my substitute for pistol and ball.
",0.5818703770637512,,98.67808823529413,1.6073529411764724,,5.752941176470589,-1.9417647058823526,-0.25882352941176556,14.382352941176471,0.5,3.235294117647059,3.0,2.073060021965423,8.5,8.5,0.5,1.1764705882352942,1.0,0.5128116404165498,17,16,0.9411764705882353,57,2
12,"With a philosophical flourish Cato throws himself upon his sword; I
",,,74.805,5.806666666666668,,8.133333333333333,6.942499999999999,9.663333333333334,37.0,3.0,4.75,4.0,3.3197640478403483,12.0,12.0,0.0,1.4166666666666667,1.0,0.8620067027323832,12,12,1.0,58,1
13,"quietly take to the ship. There is nothing surprising in this. If they
",0.41797875612974167,0.3995065689086914,99.36976190476192,0.5585714285714296,6.42735559955562,4.723809523809524,0.07976190476190226,1.7971428571428554,26.095238095238095,1.0,4.071428571428571,4.0,2.404290382815262,4.666666666666667,5.0,1.247219128924647,1.2142857142857142,1.0,0.5578749768504754,14,14,1.0,59,3
14,"but knew it, almost all men in their degree, some time or other,
",,,89.89642857142859,4.19857142857143,,5.6000000000000005,2.3914285714285732,3.0857142857142854,14.0,0.0,3.5714285714285716,3.5,1.498298354528788,14.0,14.0,0.0,1.2142857142857142,1.0,0.41032590332414487,14,14,1.0,53,1
15,cherish very nearly the same feelings towards the ocean with me.,,,87.99727272727276,3.7181818181818187,,4.4,6.7636363636363654,9.839999999999996,38.272727272727266,3.0,4.818181818181818,4.0,1.8497263590341642,11.0,11.0,0.0,1.2727272727272727,1.0,0.4453617714151233,11,10,0.9090909090909091,54,1
